Project ID,Project Name,Department,Project Manager,Status,Hours Worked,Completion %,Priority,Client,Start Date,Expected End Date,Weekly Progress %,Budget ($),Actual Cost ($),Team Size,Risk Level,Client Satisfaction,Delay (Days),On Time
P001,AI FAQ Chatbot,AI,Ali Ammar,Completed,23,100,High,SafeX Internal,2026-07-02,2026-07-11,8,5750,5550,4,Medium,4.1,0,Yes
P002,Website Redesign,Web Development,Ahmed Khan,Completed,26,100,Medium,TechNova,2026-07-03,2026-07-12,11,6500,6300,5,High,4.4,0,Yes
P003,SEO Campaign,Digital Marketing,Sara Ali,In Progress,29,75,Low,ABC Traders,2026-07-04,2026-07-13,14,7250,7550,6,Low,4.7,4,No
P004,Cloud Migration,Cloud Computing,Usman Tariq,Completed,32,100,High,CloudX,2026-07-05,2026-07-14,17,8000,7800,7,Medium,5.0,0,Yes
P005,Cybersecurity Audit,Cybersecurity,Hassan Raza,Pending,35,30,High,SecureNet,2026-07-06,2026-07-15,20,8750,9050,8,High,3.8,1,Yes
P006,Mobile App UI,UI/UX Design,Ayesha Noor,In Progress,38,65,Medium,FoodHub,2026-07-07,2026-07-16,5,9500,9800,3,Low,4.1,2,Yes
P007,CRM Integration,Software Development,Bilal Ahmed,Completed,41,100,Low,RetailPro,2026-07-01,2026-07-17,8,10250,10050,4,Medium,4.4,0,Yes
P008,Power BI Dashboard,Data Analytics,Zain Malik,Completed,44,100,High,FinEdge,2026-07-02,2026-07-18,11,11000,10800,5,High,4.7,0,Yes
P009,HR Attendance System,AI,Maryam Khan,In Progress,47,80,High,BrandBoost,2026-07-03,2026-07-19,14,11750,12050,6,Low,5.0,5,No
P010,Social Media Analytics,Web Development,Fatima Noor,Pending,50,40,Medium,SmartHelp,2026-07-04,2026-07-20,17,12500,12800,7,Medium,3.8,1,Yes
P011,Customer Support Chatbot,Digital Marketing,Hamza Ali,Completed,53,100,Low,CyberSafe,2026-07-05,2026-07-21,20,13250,13050,8,High,4.1,0,Yes
P012,Email Marketing Automation,Cloud Computing,Noor Fatima,In Progress,21,70,High,ShopEase,2026-07-06,2026-07-22,5,14000,14300,3,Low,4.4,3,No
P013,Penetration Testing,Cybersecurity,Saad Hassan,Completed,24,100,High,SafeX Internal,2026-07-07,2026-07-23,8,14750,14550,4,Medium,4.7,0,Yes
P014,E-commerce Platform Upgrade,UI/UX Design,Hina Aslam,Completed,27,100,Medium,TechNova,2026-07-01,2026-07-24,11,15500,15300,5,High,5.0,0,Yes
P015,AI Document Analyzer,Software Development,Omar Farooq,Pending,30,50,Low,ABC Traders,2026-07-02,2026-07-10,14,16250,16550,6,Low,3.8,1,Yes
P016,Portfolio Website,Data Analytics,Ali Ammar,Completed,33,100,High,CloudX,2026-07-03,2026-07-11,17,17000,16800,7,Medium,4.1,0,Yes
